鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
小港區,房地(土地+建物)+車位,廈莊一街91~120號,17.29,都市：其他:第三種商業區,,,1091105,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031208,196.14999999999998,4,1,2,有,有,7650000,39001,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,SPPNMLOLKHGGFCE57EA,97.93,21.78,0.0,有,51.0
鼓山區,房地(土地+建物),美術館路271~300號,7.72,都市：其他:特定第五種住宅區,,,1100119,土地1建物1車位0,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940831,67.00999999999999,3,2,2,有,有,2300000,34323,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLKLKHGGFAE86EA,43.12,3.79,0.0,有,
岡山區,房地(土地+建物),新樂街1~30號,6.97,都市：其他:住宅區,,,1100131,土地1建物1車位0,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841118,103.96000000000001,3,2,2,有,有,3280000,31551,,0.0,0,,RPQOMLKLKHGGFFE57EA,70.85,7.43,0.0,有,
苓雅區,房地(土地+建物),新光路62巷1~30號,4.02,都市：其他:第三種特定商業專用區,,,1100125,土地1建物1車位0,二十九層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,94.58,2,1,1,有,有,3690000,39015,,0.0,0,,RPUNMLMLKHGGFBE67EA,59.56,13.71,0.0,有,
鳳山區,房地(土地+建物)+車位,瑞興路293巷1~30號,23.4,都市：其他:第三之一種住宅區,,,1100105,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850801,184.0,4,2,2,有,有,7700000,41848,坡道平面,0.0,0,附家電家具裝潢,RPROMLTKKHGGFGE48DA,86.06,56.7,0.0,有,
楠梓區,房地(土地+建物)+車位,裕昌街181~210號,14.67,都市：其他:第四種商業區,,,1091126,土地1建物1車位1,一層，夾層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011225,171.2,4,2,3,有,有,10500000,61332,坡道平面,28.7,0,,RPSPMLRKKHGGFEE28DA,96.48,0.0,0.0,有,70.0
左營區,房地(土地+建物),翠峰路61~90號,22.51,都市：其他:特定住宅區,,,1100127,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841013,134.96,3,2,2,有,有,5380000,39864,,0.0,0,,RPUQMLLJKHGGFEE87DA,88.54,12.36,0.0,有,73.0
三民區,房地(土地+建物),覺民路285巷31~60號,9.51,都市：其他:第三種特定商業專用區,,,1100203,土地2建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040813,74.44,2,1,1,有,有,4100000,55078,,0.0,0,附家具家電裝潢,RPUPMLSKKHGGFDE48DA,43.08,5.33,0.0,有,75.0
三民區,房地(土地+建物),大昌二路241~270號,3.67,都市：其他:第四種商業區,,,1100112,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,44.53,1,0,1,有,有,1500000,33685,,0.0,0,,RPWQMLSKKHGGFDE78DA,28.59,3.96,0.0,有,
三民區,房地(土地+建物),民族一路61~90號,2.89,都市：其他:第三種特定商業專用區,,,1100123,土地1建物1車位0,二十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,52.05,1,1,1,有,有,1980000,38040,,0.0,0,,RPXNMLSKKHGGFDE58DA,36.88,3.37,0.0,有,
三民區,房地(土地+建物)+車位,皓東路76巷1~30號,7.97,都市：其他:第四種商業區,,,1100201,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880521,77.99,2,2,1,有,有,3800000,48724,坡道機械,8.45,0,,RPTNMLRKKHGGFDE08DA,45.76,5.6,0.0,有,77.0
三民區,房地(土地+建物),德山街31~60號,10.87,都市：其他:第二種商業區,,,1100113,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840301,79.96000000000001,2,2,1,有,有,4500000,56278,,0.0,0,,RPOQMLOKJHGGFDE47DA,50.82,9.53,0.0,有,79.0
前鎮區,房地(土地+建物),翠亨北路399巷1~30號,13.07,都市：其他:第三種商業區,,,1100121,土地1建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960920,129.5,3,2,2,有,有,6600000,50965,,0.0,0,,RPSNMLMLKHGGFCE47DA,72.9,15.17,0.0,有,
前鎮區,房地(土地+建物)+車位,光華三路211~240號,18.39,都市：其他:第四種商業區,,,1100117,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0951121,210.1,4,2,2,有,有,13800000,65683,坡道平面,20.38,0,,RPVNMLLLJHGGFCE57DA,112.91,17.28,0.0,有,82.0
鼓山區,房地(土地+建物)+車位,富農路181~210號,13.09,都市：其他:第四種商業區,,,1100115,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940513,134.41,3,2,2,有,有,9700000,72167,坡道機械,0.0,0,附家電家具裝潢,RPSNMLKLKHGGFAE07DA,81.66,9.41,0.0,有,
前金區,房地(土地+建物),河南二路151~180號,10.92,都市：其他:第四種住宅區,,,1100117,土地2建物1車位0,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,116.45,3,2,2,有,有,5380000,46200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLTKKHGGFAE08DA,81.06,8.47,0.0,有,
鼓山區,房地(土地+建物)+車位,美術東四路361~390號,50.53,都市：其他:特定第五種住宅區,,,1100111,土地1建物1車位1,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971014,382.3,4,2,3,有,有,34568888,90423,坡道平面,26.38,0,,RPWNMLQLJHGGFAE97DA,203.45,38.32,0.0,有,
鼓山區,房地(土地+建物),美術北三路91~120號,9.53,都市：其他:特定第四種商業區,,,1100108,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950808,91.09,2,1,1,有,有,6200000,68065,,0.0,0,,RPOPMLSKJHGGFAE47DA,55.55,6.47,0.0,有,
鼓山區,房地(土地+建物),裕誠路1501~1530號,14.26,都市：其他:第四種商業區,,,1100117,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860215,148.32,4,2,2,有,有,7600000,51241,,0.0,0,,RPQPMLSKJHGGFAE67DA,98.45,13.73,0.0,有,89.0
鼓山區,房地(土地+建物),美術東二路132巷31~60號,15.77,都市：其他:特定第五種住宅區,,,1100126,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930811,120.97,3,2,2,有,有,8050000,66545,,0.0,0,,RPTPMLRKKHGGFAE97DA,74.92,11.34,0.0,有,
鼓山區,房地(土地+建物),美術東二路132巷1~30號,11.82,都市：其他:特定第五種住宅區,,,1100121,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930805,99.24000000000001,2,1,1,有,有,6350000,63986,,0.0,0,附家電家具裝潢,RPPOMLKLKHGGFAE86DA,58.76,11.67,0.0,有,91.0
新興區,房地(土地+建物)+車位,新興路31~60號,9.23,都市：其他:第三種特定商業專用區,,,1100112,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040306,82.81,2,2,1,有,有,6900000,83323,坡道機械,5.53,0,,RPVNMLMLJHGGFBE57DA,38.69,12.62,0.0,有,92.0
前鎮區,房地(土地+建物)+車位,新光路1~30號,3.41,都市：其他:第三種特定商業專用區,,,1091217,土地2建物1車位1,三十層,三十九層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880209,122.72999999999999,2,2,1,有,有,6800000,55406,坡道平面,34.75,0,,RPUNMLKLKHGGFCE47DA,52.98,6.42,0.0,有,95.0
前鎮區,房地(土地+建物)+車位,光華三路211~240號,27.93,都市：其他:第四種商業區,,,1091226,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960109,333.35,4,2,4,有,有,22000000,65997,坡道平面,0.0,0,,RPXOMLTKKHGGFCE68DA,168.85,28.05,0.0,有,98.0
前鎮區,房地(土地+建物),沱江街121~150號,4.15,都市：其他:第三種特定商業專用區,,,1100126,土地2建物1車位0,二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,85.07000000000001,2,1,1,有,有,3300000,38792,,0.0,0,,RPOPMLTKKHGGFCE87DA,56.55,7.57,0.0,有,
三民區,房地(土地+建物)+車位,建昌路31~60號,13.35,都市：其他:第三種商業區,,,1100107,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,152.15,3,2,2,有,有,9680000,63621,坡道平面,17.51,0,附贈家電及固定燈飾全部,RPPNMLTLJHGGFDE87DA,74.25,17.43,0.0,有,99.0
三民區,房地(土地+建物)+車位,民族一路543巷1~30號,17.35,都市：其他:第四種住宅區,,,1100115,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,160.87,4,2,2,有,有,8180000,50849,坡道平面,0.0,0,陽台外推;,RPWNMLNJKHGGFDE87DA,85.34,17.37,0.0,有,100.0
三民區,房地(土地+建物)+車位,教仁路31~60號,17.38,都市：其他:第五種商業區,,,1100122,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941121,188.57999999999998,4,2,2,有,有,12700000,67345,坡道平面,16.55,0,含裝潢費;含傢俱設備費;其他                    ;其他增建;,RPVNMLTKKHGGFDE48DA,111.94,16.94,0.0,有,102.0
三民區,房地(土地+建物)+車位,鼎新路61~90號,22.54,都市：其他:第四種住宅區,,,1100107,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930804,164.59,4,2,2,有,有,8800000,53466,坡道平面,23.72,0,含裝潢,RPRNMLKLKHGGFDE27DA,89.59,10.22,0.0,有,103.0
三民區,房地(土地+建物),淵源街1~30號,16.66,都市：其他:第三種特定商業專用區,,,1091127,土地2建物1車位0,七層，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841229,142.82999999999998,3,2,2,有,有,3100000,21704,,0.0,0,二親等買賣,RPQNMLMLKHGGFDE37DA,107.9,13.76,0.0,有,
三民區,房地(土地+建物)+車位,建興路419巷1~30號,22.43,都市：其他:第三種商業區,,,1100123,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980710,211.04,4,2,2,有,有,13000000,61600,坡道平面,44.98,0,含裝潢費;,RPWNMLMLKHGGFDE97DA,98.8,14.11,0.0,有,
左營區,房地(土地+建物)+車位,先勝路91~120號,17.07,都市：其他:第五種住宅區,,,1091223,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960402,153.37,4,1,2,有,有,8200000,53465,坡道機械,12.46,0,,RPRRMLSLJHGGFEE48DA,91.72,5.1,0.0,有,105.0
左營區,房地(土地+建物),榮德街421~450號,8.0,都市：其他:第五種住宅區,,,1100116,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960808,78.86,2,2,1,有,有,4500000,57063,,0.0,0,,RPPNMLQJKHGGFEE57DA,47.54,10.02,0.0,有,
左營區,房地(土地+建物)+車位,民族一路1081~1110號,11.95,都市：其他:第五種住宅區,,,1100113,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861024,122.31,3,2,2,有,有,5430000,44395,坡道機械,10.7,0,前陽台外推。陽台外推;其他增建;,RPSNMLSJKHGGFEE08DA,68.99,14.87,0.0,有,
左營區,房地(土地+建物),文天路121~150號,7.66,都市：其他:第四種商業區,,,1100117,土地1建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,95.84,3,2,2,有,有,4780000,49875,,0.0,0,,RPVPMLPLJHGGFEE38DA,62.22,11.18,0.0,有,108.0
左營區,房地(土地+建物)+車位,重光路61~90號,18.48,都市：其他:第四種住宅區,,,1091225,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870403,232.07,3,2,2,有,有,11500000,49554,坡道平面,52.72,0,陽台外推;,RPOQMLSKKHGGFEE08DA,113.07,23.74,0.0,有,
鳳山區,房地(土地+建物),經武路241~270號,20.17,都市：其他:道路,,,1100115,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830112,150.74,4,2,2,有,有,6350000,42126,,0.0,0,,RPXOMLTKJHGGFGE98DA,103.28,16.55,0.0,有,116.0
鳳山區,房地(土地+建物)+車位,凱旋路317巷1~30號,20.27,都市：其他:第三之一種住宅區,,,1100110,土地1建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,192.67999999999998,4,2,2,有,有,8900000,46191,坡道平面,0.0,0,前陽台外推,RPWNMLPJKHGGFGE38DA,113.8,21.37,0.0,有,
苓雅區,房地(土地+建物)+車位,新光路62巷1~30號,6.29,都市：其他:第三種特定商業專用區,,,1100106,土地1建物1車位1,二十一層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,174.43,3,2,2,有,有,8050000,46150,坡道平面,27.3,0,,RPTNMLMLKHGGFBE57EA,92.28,17.56,0.0,有,
前鎮區,房地(土地+建物)+車位,光華三路151~180號,12.7,都市：其他:第四種商業區,,,1100128,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950614,152.05,3,2,2,有,有,8500000,55903,坡道平面,0.0,1300000,,RPROMLKLKHGGFCE37EA,71.81,12.52,0.0,有,
三民區,房地(土地+建物)+車位,淵源街1~30號,17.19,都市：其他:第三種特定商業專用區,,,1100107,土地2建物1車位2,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850215,166.51999999999998,4,2,2,有,有,6450000,38734,坡道機械,0.0,0,,RPQOMLKLKHGGFDE37EA,85.42,12.08,0.0,有,127.0
前金區,房地(土地+建物)+車位,河東路151~180號,6.87,都市：其他:第五種商業區,,,1100129,土地1建物1車位1,二十二層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850215,190.74,3,2,2,有,有,12000000,62913,坡道機械,0.0,0,,RPUNMLMLKHGGFAE57EA,108.46,0.0,13.62,有,
仁武區,房地(土地+建物)+車位,永仁街102巷1~30號,31.3,都市：其他:第四種住宅區,,,1100108,土地2建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861220,208.87,5,2,3,有,有,7500000,35908,坡道平面,19.76,0,,RPPNMLKLKHGGFIE57DA,131.31,8.59,0.0,有,134.0
