鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物),興隆路二段203巷151~180號,26.63,都市：其他:第二種住宅區。,,,1100102,土地4建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030808,95.63000000000001,2,2,1,有,有,15900000,166266,,0.0,0,陽台外推;其他增建;,RPUNMLRLJHGGFAA47DA,56.18,0.0,7.97,有,
萬華區,房地(土地+建物)+車位,內江街31~60號,13.19,都市：其他:第四種商業區。,,,1091219,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,179.73000000000002,3,2,1,有,有,36580000,218229,坡道機械,16.69,1000000,,RPPNMLKLKHGGFBA09DA,96.78,5.66,6.98,有,
內湖區,房地(土地+建物),星雲街168巷31~60號,5.0,都市：其他:第三種住宅區。,,,1100125,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,30.11,1,1,1,有,有,6600000,219196,,0.0,0,夾層;其他增建;,RPQSMLPLJHGGFCA57DA,15.7,0.53,3.75,有,5.0
內湖區,房地(土地+建物)+車位,民權東路六段121~150號,14.26,都市：其他:第三種商業區。,,,1091226,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,200.74,3,2,2,有,有,31200000,155425,坡道平面,0.0,0,,RPVRMLOJKHGGFCA77DA,100.17,2.75,3.79,有,
內湖區,房地(土地+建物)+車位,星雲街121~150號,14.08,都市：其他:第三種住宅區。,,,1091203,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,116.85,1,1,1,有,有,27500000,235344,坡道平面,28.03,0,其他增建;,RPTPMLRKKHGGFCA77DA,53.28,3.93,3.35,有,
中山區,房地(土地+建物)+車位,植福路286巷31~60號,66.87,都市：其他:娛樂區(供觀光旅館使用)。,,,1091225,土地1建物1車位3,二十五層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,586.8,0,0,0,無,有,290000000,589516,坡道平面,113.7,11100000,,RPPOMLTKKHGGFCA47DA,298.86,1.43,33.45,有,
松山區,房地(土地+建物),八德路四段781~810號,11.14,都市：其他:第三種商業區。,,,1091206,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960724,113.97,3,2,2,有,有,28280000,248135,,0.0,0,,RPUNMLSJKHGGFDA77DA,76.22,1.93,3.74,有,
松山區,房地(土地+建物),復興北路1~30號,16.96,都市：其他:道路用地(公共設施用地)。48/3/13,,,1091231,土地3建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,208.36,5,0,5,有,有,28000000,134383,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;含租約;,RPRPMLRKKHGGFDA67DA,146.98,0.0,23.96,有,
士林區,房地(土地+建物)+車位,天母東路1~30號,78.56,都市：其他:第三種住宅區。,,,1100105,土地2建物1車位4,十二層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050920,694.4,4,2,5,有,有,285000000,458229,坡道平面,102.12,13600000,,RPVQMLRKKHGGFEA28DA,319.19,13.07,51.95,有,
北投區,房地(土地+建物),中山路1~30號,9.8,都市：其他:特定觀光商業專用區。,,,1091229,土地1建物1車位0,七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,70.83,1,1,1,有,有,12200000,172243,,0.0,0,陽台外推;,RPSNMLSKKHGGFEA77DA,37.04,0.0,13.32,有,
大安區,房地(土地+建物)+車位,仁愛路四段301~330號,32.36,都市：其他:道路用地(公共設施用地)。68/10/15,,,1090530,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701223,264.27,4,2,2,有,有,66880000,253075,坡道平面,0.0,0,本案行使34條之1辦理,RPPQMLMJKHGGFFA17DA,220.42,0.0,12.61,有,
大安區,房地(土地+建物)+車位,仁愛路三段5巷1~30號,41.42,都市：其他:第三種住宅區。,,,1091222,土地1建物3車位2,五層,十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050929,421.93,3,2,3,有,有,161000000,436361,坡道平面,69.24,7100000,,RPTOMLTKKHGGFFA18DA,191.76,20.7,11.1,有,
大同區,房地(土地+建物)+車位,民權西路144巷5弄1~30號,15.83,都市：其他:第四種住宅區。,,,1100111,土地2建物1車位1,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790323,204.08,3,2,2,有,有,17300000,84771,坡道平面,45.94,0,兄妹二親等主張買賣親友、員工、共有人或其他特殊關係間之交易;,RPQOMLTKKHGGFBA57EA,165.66,0.0,13.15,有,
中山區,房地(土地+建物)+車位,中山北路三段1~30號,23.9,都市：其他:道路用地(公共設施用地)。71/6/22,,,1091223,土地2建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203,362.75,3,2,3,有,有,88000000,242591,坡道平面,0.0,0,,RPOOMLTKKHGGFCA47EA,159.08,3.32,20.94,有,27.0
中山區,房地(土地+建物),明水路541~570號,10.8,都市：其他:第三種住宅區。,,,1100116,土地1建物1車位0,十二層，十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850530,47.42,1,2,1,有,有,12760000,269085,,0.0,0,夾層;,RPSOMLTKKHGGFCA87EA,30.55,1.69,3.26,有,29.0
大安區,房地(土地+建物)+車位,市民大道三段181~210號,32.9,都市：其他:第三之二種住宅區。,,,1090410,土地2建物1車位2,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111,321.67999999999995,0,0,0,無,有,89000000,305057,坡道平面,49.6,6000000,,RPWOMLLKJHGGFFA67EA,163.0,10.69,14.48,有,
大安區,房地(土地+建物),金山南路二段181~210號,20.11,都市：其他:第三之一種住宅區(特)。,,,1100114,土地4建物1車位0,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,130.47,2,2,2,有,有,50200000,384733,,0.0,0,,RPTNMLTKKHGGFFA18EA,80.73,0.0,6.28,有,
大安區,房地(土地+建物)+車位,金山南路二段181~210號,20.16,都市：其他:第三之一種住宅區(特)。,,,1100107,土地4建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,176.17,3,2,2,有,有,52000000,373996,坡道平面,45.42,3100000,,RPUNMLTKKHGGFFA28EA,80.9,0.0,6.28,有,
大安區,房地(土地+建物)+車位,金山南路二段181~210號,20.11,都市：其他:第三之一種住宅區(特)。,,,1100111,土地4建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,175.89999999999998,2,2,2,有,有,54500000,393930,坡道平面,45.42,3100000,,RPVNMLTKKHGGFFA38EA,80.73,0.0,6.28,有,
松山區,房地(土地+建物),南京東路五段211~240號,4.44,都市：其他:聯合開發區(捷)。,,,1100124,土地1建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,55.620000000000005,1,1,1,有,有,12850000,231032,,0.0,0,,RPVOMLKLKHGGFDA47EA,31.59,1.54,3.54,有,
中山區,房地(土地+建物)+車位,北安路608巷4弄1~30號,63.4,都市：其他:第三種住宅區。,,,1091231,土地1建物1車位2,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820827,340.54,5,2,3,有,有,69980000,205497,坡道平面,0.0,6000000,2個車位面積合計為86.23平方公尺其他增建;,RPTPMLKLKHGGFCA27EA,261.24,13.08,24.29,有,47.0
萬華區,房地(土地+建物)+車位,萬大路423巷31~60號,40.52,都市：其他:第三之一種住宅區。,,,1100110,土地4建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,189.3,3,2,2,有,有,28100000,148442,坡道平面,0.0,0,,RPTOMLMLKHGGFBA27EA,103.07,0.0,9.77,有,
大安區,房地(土地+建物)+車位,四維路66巷1~30號,28.19,都市：其他:第四種住宅區。,,,1091229,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,173.63,3,2,2,有,有,46500000,267811,坡道平面,0.0,0,陽台外推;,RPQPMLPLJHGGFFA57DA,88.84,1.23,11.4,有,
大安區,房地(土地+建物),敦化南路一段301~330號,12.77,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區及第肆之壹種住宅區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1091222,土地1建物1車位0,六層，陽臺，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.55,4,2,2,有,有,49500000,322371,,0.0,0,,RPQOMLSLJHGGFFA77DA,153.55,0.0,0.0,有,
士林區,房地(土地+建物)+車位,忠義街121~150號,66.34,都市：其他:第三種住宅區。,,,1091108,土地1建物1車位1,十四層，十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800514,382.65,4,4,3,有,有,56000000,146348,坡道平面,0.0,0,陽台外推;其他增建;,RPTOMLSKKHGGFEA97DA,228.12,77.61,13.14,有,
松山區,房地(土地+建物),三民路29巷1~30號,44.24,都市：其他:第三種住宅區。,,,1100117,土地2建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931111,207.63,3,2,2,有,有,46000000,221548,,0.0,0,陽台外推;其他增建;,RPPQMLTKKHGGFDA77DA,117.42,2.54,11.24,有,
信義區,房地(土地+建物),松智路31巷1~30號,41.42,都市：其他:住宅區(信義計畫特定專用區)。,,,1100109,土地2建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870420,168.86,3,2,2,有,有,43200000,255833,,0.0,0,陽台外推;其他增建;,RPVOMLOJKHGGFDA57DA,82.09,1.92,11.2,有,
中山區,房地(土地+建物),建國北路二段121~150號,11.1,都市：其他:第三之二種住宅區及第三種住宅區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100120,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710702,76.35,0,1,1,有,有,13500000,176817,,0.0,0,,RPXRMLOJKHGGFCA97DA,49.99,0.0,6.77,有,
中山區,房地(土地+建物)+車位,中山北路二段151~180號,29.65,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100103,土地1建物1車位2,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040918,387.72,3,2,4,有,有,89800000,258466,坡道平面,63.5,6000000,,RPTPMLLJKHGGFCA07DA,195.34,5.92,24.72,有,
大同區,房地(土地+建物)+車位,雙連街61~90號,25.05,都市：其他:第四種住宅區。,,,1100127,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,269.93,4,2,2,有,有,62000000,229689,坡道平面,71.69,0,,RPWOMLRKKHGGFBA87DA,119.71,2.58,16.2,有,61.0
文山區,房地(土地+建物),興隆路四段105巷1~30號,25.05,都市：其他:第三種住宅區。,,,1100120,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840821,111.49000000000001,3,2,2,有,有,17200000,154274,,0.0,0,,RPPPMLQLJHGGFAA07DA,72.88,3.36,7.79,有,
文山區,房地(土地+建物)+車位,一壽街3巷1~30號,78.98,都市：其他:第三種住宅區。,,,1091229,土地1建物3車位3,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0910117,426.25,4,2,3,有,有,66000000,154842,坡道平面,78.81,0,陽台外推;,RPOOMLKLKHGGFAA98DA,289.57,5.42,24.19,有,
文山區,房地(土地+建物),景興路241~270號,3.27,都市：其他:第三種商業區。,,,1100120,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981028,38.07,1,0,1,有,有,7150000,187812,,0.0,0,,RPQNMLQKKHGGFAA96DA,20.59,0.0,2.25,有,67.0
文山區,房地(土地+建物)+車位,景興路271~300號,32.8,都市：其他:第三種商業區。,,,1091227,土地1建物1車位1,八層，九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810103,241.11999999999998,6,2,3,有,有,30000000,124419,坡道平面,0.0,0,陽台外推;夾層;其他增建;,RPPPMLMLKHGGFAA76DA,156.74,20.46,15.75,有,
中山區,房地(土地+建物)+車位,中山北路三段31~60號,19.69,都市：其他:第三種商業區。,,,1091209,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1061020,198.63,0,0,0,無,有,62000000,325424,升降機械,14.87,2200000,,RPRPMLSKKHGGFCA67DA,108.03,7.95,9.52,有,
信義區,房地(土地+建物)+車位,松平路61~90號,49.72,都市：其他:住宅區(信義計畫特定專用區)。,,,1100110,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870428,193.05,4,2,2,有,有,48500000,251230,坡道平面,0.0,0,陽台外推;,RPSRMLKLKHGGFDA37DA,95.14,1.92,12.72,有,
大安區,房地(土地+建物),辛亥路二段31~60號,10.22,都市：其他:第三之二種住宅區及第三種住宅區。,,,1100121,土地1建物1車位0,十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780221,156.95,4,2,2,有,有,39000000,248487,,0.0,0,,RPPNMLNLJHGGFFA07DA,112.01,5.43,12.97,有,
中正區,房地(土地+建物),汀州路二段31~60號,3.68,都市：其他:第二種商業區。,,,1100128,土地3建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850126,34.64,0,0,0,無,有,6670000,192552,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLNLKHGGFAA76EA,23.37,0.0,3.13,有,84.0
內湖區,房地(土地+建物),星雲街168巷1~30號,15.28,都市：其他:第三種住宅區。,,,1100120,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,63.56999999999999,2,2,1,有,有,15000000,235960,,0.0,0,,RPXOMLMLKHGGFCA77EA,47.93,0.0,5.98,有,
內湖區,房地(土地+建物)+車位,成功路五段451~480號,41.47,都市：其他:第三種住宅區。,,,1091218,土地4建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900117,213.48,3,2,2,有,有,44000000,232246,坡道平面,34.79,2500000,,RPWNMLNLKHGGFCA67EA,122.69,0.0,10.19,有,
北投區,房地(土地+建物)+車位,天母西路91~120號,51.29,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1091226,土地2建物1車位3,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081226,398.55,0,2,4,有,無,93160000,311557,坡道平面,130.68,9700000,毛胚屋;,RPSOMLMLJHGGFEA37EA,149.21,13.88,15.27,有,
大安區,房地(土地+建物)+車位,金山南路二段181~210號,20.29,都市：其他:第三之一種住宅區(特)。,,,1100107,土地4建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,177.0,2,2,2,有,有,50450000,358310,坡道平面,45.42,3300000,,RPVNMLMLKHGGFFA77EA,81.49,0.0,6.26,有,
大安區,房地(土地+建物),復興南路二段151巷31~60號,19.94,都市：其他:第三種住宅區。,,,1091218,土地1建物1車位0,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,102.91,3,1,1,有,有,21000000,204062,,0.0,0,車位每年抽一次權利，使用期一年。親友、員工、共有人或其他特殊關係間之交易;,RPRNMLMLKHGGFFA37EA,70.04,1.26,7.07,有,
內湖區,房地(土地+建物)+車位,成功路五段450巷23弄1~30號,76.82,都市：其他:第三種住宅區。,,,1100109,土地1建物1車位2,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970814,376.69,5,2,3,有,有,90000000,272188,坡道平面,68.08,6000000,,RPVPMLNLKHGGFCA77EA,180.02,0.0,23.78,有,
中山區,房地(土地+建物),松江路1~30號,2.51,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100121,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701208,34.28,1,1,1,有,無,6850000,199825,,0.0,0,,RPRPMLNLKHGGFCA37EA,25.38,0.0,0.0,有,
文山區,房地(土地+建物),羅斯福路五段241~270號,9.58,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆之壹種住宅區)。,,,1091220,土地4建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960730,58.68000000000001,1,1,1,有,有,12150000,207055,,0.0,0,,RPXNMLOLKHGGFAA67EA,40.11,0.0,3.27,有,
文山區,房地(土地+建物)+車位,木新路三段95巷31~60號,28.99,都市：其他:第三種住宅區。,,,1091118,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961031,205.95999999999998,3,2,2,有,有,20000000,97106,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPOMLNLKHGGFAA86EA,107.04,0.0,11.95,有,
文山區,房地(土地+建物)+車位,辛亥路四段21巷1~30號,49.68,都市：其他:第二種住宅區。,,,1091225,土地4建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,151.91,3,2,2,有,有,19800000,130340,坡道平面,0.0,2000000,陽台外推;其他增建;,RPUOMLMLJHGGFAA17EA,83.1,2.2,8.46,有,
大安區,房地(土地+建物)+車位,辛亥路二段31~60號,10.63,都市：其他:第三之二種住宅區及第三種住宅區。,,,1100115,土地1建物1車位1,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780221,184.33,1,2,2,有,有,47000000,254977,坡道平面,0.0,0,陽台外推;夾層;,RPRPMLPJKHGGFFA57DA,102.83,4.0,13.27,有,
大安區,房地(土地+建物),羅斯福路三段241~270號,4.11,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100204,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980122,40.43,1,1,1,有,有,11000000,272075,,0.0,0,,RPOOMLOJKHGGFFA07DA,15.79,0.0,11.11,有,
北投區,房地(土地+建物)+車位,磺港路121~150號,33.21,都市：其他:第三種住宅區。,,,1091108,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030619,227.37,3,2,3,有,有,33000000,145138,坡道平面,0.0,0,其他增建;,RPROMLKLKHGGFEA07DA,108.64,12.34,11.23,有,102.0
內湖區,房地(土地+建物)+車位,文德路208巷6弄1~30號,45.37,都市：其他:第三種住宅區。,,,1100103,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961226,226.03000000000003,3,2,2,有,有,49000000,216785,坡道平面,36.8,0,陽台外推;其他增建;,RPPOMLNLKHGGFCA96DA,125.37,5.27,10.13,有,
中山區,房地(土地+建物)+車位,長春路181~210號,15.32,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)。,,,1091228,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,174.17000000000002,3,2,2,有,有,41660000,239192,坡道平面,18.23,0,,RPRQMLLLJHGGFCA07DA,91.14,6.8,11.54,有,
中山區,房地(土地+建物),林森北路391~420號,5.11,都市：其他:道路用地(公共設施用地)。53/7/15,,,1091224,土地3建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,54.68,2,1,1,有,有,7800000,142648,,0.0,0,,RPUOMLRLJHGGFCA77DA,41.57,0.0,3.23,有,113.0
文山區,房地(土地+建物)+車位,辛亥路四段21巷1~30號,52.05,都市：其他:第二種住宅區。,,,1091201,土地4建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,153.06,3,2,2,有,有,11500000,75134,坡道平面,34.48,0,親友、員工、共有人或其他特殊關係間之交易;,RPQPMLSLKIPFFAA38DA,87.53,2.03,8.46,有,
文山區,房地(土地+建物)+車位,辛亥路六段21巷1~30號,65.03,都市：其他:第二種住宅區。,,,1100118,土地8建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880809,185.10000000000002,2,2,2,有,有,22400000,121016,坡道平面,0.0,0,後陽台加窗其他增建;,RPSPMLRKKHGGFAA47DA,87.43,0.0,10.27,有,
萬華區,房地(土地+建物)+車位,康定路91~120號,9.33,都市：其他:第四種商業區。,,,1100129,土地1建物1車位1,十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,166.54000000000002,3,2,2,有,有,28000000,168128,坡道平面,33.7,0,,RPWOMLNLKHGGFBA57DA,78.17,5.03,4.44,有,118.0
中山區,房地(土地+建物)+車位,五常街11巷1~30號,13.15,都市：其他:第三之一種住宅區。,,,1091129,土地2建物1車位1,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,119.69,2,2,1,有,有,25000000,208873,坡道平面,38.04,0,,RPOQMLSKJHGGFCA37DA,46.96,1.48,5.82,有,120.0
大同區,房地(土地+建物),寧夏路151~180號,8.54,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆種住宅區)。,,,1100128,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001207,76.25999999999999,2,1,1,有,有,16500000,216365,,0.0,0,夾層;,RPVNMLKLKHGGFBA07DA,44.07,0.0,7.26,有,
中山區,房地(土地+建物),新生北路二段62巷1~30號,5.95,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100117,土地1建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,80.52000000000001,1,1,1,有,有,22000000,273224,,0.0,0,,RPVNMLMLKHGGFCA37DA,51.44,2.64,2.44,有,123.0
內湖區,房地(土地+建物)+車位,內湖路二段103巷1~30號,74.54,都市：其他:第三種住宅區。,,,1100105,土地1建物1車位2,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070619,516.95,0,0,0,無,有,190550000,422585,坡道平面,79.76,5800000,,RPPRMLOLKHGGFCA37DA,231.34,4.54,34.34,有,
文山區,房地(土地+建物)+車位,辛亥路四段77巷1~30號,43.52,都市：其他:第二種住宅區。,,,1091124,土地4建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851107,116.9,2,2,1,有,有,15700000,134303,坡道平面,0.0,1800000,,RPWOMLMLJHGGFAA37EA,53.28,0.65,6.55,有,130.0
文山區,房地(土地+建物),辛亥路四段21巷1~30號,34.31,都市：其他:第二種住宅區。,,,1100121,土地4建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,91.56,2,2,2,有,有,12100000,132139,,0.0,0,,RPRNMLOLKHGGFAA07EA,56.53,2.74,5.44,有,
中山區,房地(土地+建物),新生北路二段68巷1~30號,3.92,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091229,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971229,46.629999999999995,1,1,1,有,有,9500000,203732,,0.0,0,夾層;,RPTQMLNLKHGGFCA67EA,28.09,2.54,0.0,有,133.0
中山區,房地(土地+建物),建國北路二段121~150號,13.58,都市：其他:第三之二種住宅區及第三種住宅區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100116,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751014,115.54,3,2,2,有,有,22500000,194738,,0.0,0,陽台外推;,RPVPMLSKKHGGFCA18EA,85.71,0.0,6.97,有,
中山區,房地(土地+建物),建國北路二段31~60號,5.96,都市：其他:第三種住宅區。,,,1100112,土地5建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770524,50.68,1,1,1,有,有,11060000,218232,,0.0,0,陽台外推;其他增建;,RPSPMLOLKHGGFCA57EA,31.36,0.15,4.81,有,
內湖區,房地(土地+建物),民權東路六段121~150號,3.2,都市：其他:第三種商業區。,,,1100111,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,39.25,0,0,0,無,有,6000000,152866,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLPLKHGGFCA27EA,17.71,0.0,5.63,有,
信義區,房地(土地+建物)+車位,忠孝東路五段211~240號,12.01,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1091228,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940930,99.5,1,2,1,有,有,29700000,411677,坡道機械,32.7,2200000,,RPSQMLLJKHGGFDA27EA,40.86,0.0,4.95,有,138.0
南區,房地(土地+建物),學府路168巷1~30號,3.88,都市：其他:第一種商業區,,,1100108,土地3建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860428,43.01,1,1,1,有,有,1900000,44176,,0.0,0,其他增建;,RPSNMLTKKHGGFAB57DA,23.91,3.68,0.0,有,
北區,房地(土地+建物),中清路一段91~120號,7.7,都市：其他:第一種商業區,,,1100110,土地1建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850423,105.5,2,2,1,有,有,6100000,57820,,0.0,0,,RPTNNLLKJHGGFBB96DA,64.54,0.65,2.85,有,
北屯區,房地(土地+建物)+車位,東山路一段121~150號,12.68,都市：其他:第三種住宅區。,,,1100117,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860628,130.66,3,2,2,有,有,7300000,55870,坡道平面,0.0,0,,RPOQMLTJKHGGFBB47DA,72.86,0.0,9.19,有,
北屯區,房地(土地+建物),天津路四段301~330號,3.33,都市：其他:第一種商業區,,,1100114,土地1建物1車位0,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840626,51.67,1,1,1,有,有,3000000,58061,,0.0,0,,RPSQMLRKKHGGFBB77DA,31.63,0.0,2.0,有,
