鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總件數,總車位數,平均總價元,平均車位總價元
五股區,房地(土地+建物)+車位,新五路三段271~300號,16.17,都市：其他:商業區,,,1100206,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080319,140.57,2,2,1,有,有,12850000,105263,坡道平面,37.97,2050000,含傢俱設備費;,RPPVMLMLKHGGFBF97DA,63.16,0.0,4.44,有,,3,1,4283333,2050000
五股區,房地(土地+建物)+車位,新五路三段241~270號,11.94,都市：其他:商業區,,,1100105,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080319,113.7,1,2,1,有,有,8710000,88604,坡道平面,37.97,2000000,,RPQVMLMLKHGGFBF08DA,45.24,0.0,4.64,有,,3,1,2903333,2000000
新莊區,房地(土地+建物)+車位,龍安路31~60號,13.06,都市：其他:住宅區,,,1091227,土地1建物1車位1,三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1080723,155.45999999999998,3,2,2,有,無,16230000,113026,坡道平面,27.79,1800000,,RPVTMLMLKHGGFBF38DA,78.56,1.14,4.74,有,,3,1,5410000,1800000
新莊區,房地(土地+建物)+車位,龍安路1~30號,8.62,都市：其他:住宅區,,,1091220,土地1建物1車位1,二十八層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,110.31,2,1,1,有,無,11460000,117668,坡道平面,27.79,1750000,,RPWTMLMLKHGGFBF48DA,46.13,3.59,4.9,有,,3,1,3820000,1750000
新莊區,房地(土地+建物)+車位,龍安路1~30號,8.92,都市：其他:住宅區,,,1091129,土地1建物1車位1,八層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,113.57,2,1,1,有,無,11650000,113080,坡道平面,27.79,1950000,,RPXTMLMLKHGGFBF58DA,47.82,3.59,5.24,有,,3,1,3883333,1950000
新莊區,房地(土地+建物),龍安路1~30號,8.49,都市：其他:住宅區,,,1091129,土地1建物1車位0,九層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,85.78,2,1,1,有,無,9550000,111331,,0.0,0,,RPOUMLMLKHGGFBF77DA,47.82,3.59,5.24,有,,2,0,4775000,0
新莊區,房地(土地+建物)+車位,龍安路1~30號,13.58,都市：其他:住宅區,,,1091220,土地1建物1車位1,十九層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,160.66000000000003,3,2,2,有,無,17380000,117257,坡道平面,27.79,1800000,,RPPUMLMLKHGGFBF87DA,76.44,6.75,4.74,有,,3,1,5793333,1800000
新莊區,房地(土地+建物),龍安路1~30號,13.23,都市：其他:住宅區,,,1091213,土地1建物1車位0,十層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,133.62,3,2,2,有,無,15200000,113755,,0.0,0,,RPQUMLMLKHGGFBF97DA,76.94,6.75,4.74,有,,2,0,7600000,0
新莊區,房地(土地+建物),光華街60巷1~30號,15.27,都市：其他:住宅區,,,1100116,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0660201,54.1,3,1,1,有,無,4650000,85952,,0.0,0,陽台外推;,RPRUMLMLKHGGFBF08DA,54.1,0.0,0.0,無,327.0,2,0,2325000,0
林口區,房地(土地+建物)+車位,文化二路二段110巷1~30號,13.47,都市：其他:第五種住宅區,,,1100106,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960910,111.6,2,2,1,有,有,8450000,75717,坡道平面,23.12,0,陽台外推;,RPUNMLKLKHGGFBF47DA,52.14,2.25,8.87,有,,3,1,2816666,0
