鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總件數,總車位數,平均總價元,平均車位總價元
文山區,房地(土地+建物),興隆路四段145巷61弄1~30號,43.21,都市：其他:第三種住宅區。,,,1100107,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780526,117.72,3,2,2,有,無,12500000,106184,,0.0,0,其他增建;,RPPOMLLLJHGGFAA09DA,98.76,0.3,10.99,無,,2,0,6250000,0
文山區,房地(土地+建物)+車位,政大二街121~150號,112.35,都市：其他:第二種住宅區。,,,1091211,土地1建物1車位2,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850824,251.91,5,2,2,有,有,23050000,91501,坡道平面,0.0,0,陽台外推;其他增建;,RPROMLMLJHGGFAA76DA,122.3,5.85,14.94,有,1.0,4,2,5762500,0
文山區,房地(土地+建物),興隆路二段203巷151~180號,26.63,都市：其他:第二種住宅區。,,,1100102,土地4建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030808,95.63000000000001,2,2,1,有,有,15900000,166266,,0.0,0,陽台外推;其他增建;,RPUNMLRLJHGGFAA47DA,56.18,0.0,7.97,有,,5,0,3180000,0
文山區,房地(土地+建物)+車位,萬芳路31~60號,150.06,都市：其他:第二種住宅區。,,,1100105,土地1建物1車位1,全,三層,透天厝,集合住宅、樓梯間、外廊、水箱、自有機械工具房、停車空間,鋼筋混凝土造,0920829,281.46000000000004,5,2,5,有,有,42500000,150998,坡道平面,0.0,0,,RPQPMLRKKHGGFAA27DA,237.97,2.88,17.51,有,,3,1,14166666,0
文山區,房地(土地+建物),萬美街二段31~60號,32.12,都市：其他:第二種住宅區。,,,1100117,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840830,106.41999999999999,2,2,2,有,有,12150000,114170,,0.0,0,法定空地其他增建;,RPQOMLSJKHGGFAA17DA,74.32,0.0,0.0,有,2.0,2,0,6075000,0
文山區,房地(土地+建物),政大一街181~210號,130.83,都市：其他:第二種住宅區。,,,1091227,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1000519,303.44,5,2,4,有,有,48500000,159834,,0.0,0,其他增建;,RPPOMLSKKHGGFAA17DA,251.94,5.26,27.69,無,,2,0,24250000,0
中正區,房地(土地+建物)+車位,汀州路三段61~90號,16.08,都市：其他:第三種住宅區。,,,1100127,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071122,143.74,0,0,0,無,有,37000000,324600,坡道平面,39.92,3300000,,RPSQMLSKKHGGFAA67DA,56.73,6.61,5.6,有,,4,1,9250000,3300000
文山區,房地(土地+建物),久康街169巷1~30號,19.28,都市：其他:第三種住宅區。,,,1100104,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090120,84.13,2,2,1,有,有,16880000,200642,,0.0,0,其他增建;,RPSNMLTKKHGGFAA47DA,40.74,6.77,4.61,有,3.0,2,0,8440000,0
文山區,房地(土地+建物),興隆路三段121~150號,6.39,都市：其他:第三種住宅區。,,,1100123,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970523,30.39,1,1,1,有,有,6680000,219809,,0.0,0,夾層;,RPOOMLTKKHGGFAA17DA,16.91,2.59,0.0,有,,2,0,3340000,0
中正區,房地(土地+建物),南昌路一段31~60號,15.98,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100103,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0780720,122.66,4,1,2,有,無,12880000,105006,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLKLKHGGFAA56DA,119.49,0.0,3.17,有,,2,0,6440000,0
萬華區,房地(土地+建物),寶興街61~90號,32.5,都市：其他:第三種住宅區。,,,1100109,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601220,90.06,4,1,2,有,無,12000000,133245,,0.0,0,其他增建;,RPOPMLLLJHGGFBA56DA,90.06,0.0,0.0,無,,3,0,4000000,0
大同區,房地(土地+建物),歸綏街151~180號,4.51,都市：其他:第三種商業區。,,,1091211,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791011,34.97,1,1,1,有,有,6500000,185874,,0.0,0,陽台外推;,RPPPMLSLJHGGFBA37DA,22.81,0.47,3.91,有,4.0,2,0,3250000,0
萬華區,房地(土地+建物),萬大路511~540號,27.25,都市：其他:第三之一種住宅區。,,,1100102,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,88.88,3,2,1,有,無,9010000,101373,,0.0,0,其他增建;,RPUQMLMLJHGGFBA37DA,88.88,0.0,0.0,無,,2,0,4505000,0
大同區,房地(土地+建物)+車位,民權西路181~210號,10.02,都市：其他:第四種住宅區。,,,1091221,土地3建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091202,95.52,2,2,1,有,有,20200000,211474,塔式車位,5.55,0,,RPVOMLSKKHGGFBA87DA,52.23,0.88,4.01,有,,5,1,4040000,0
大同區,房地(土地+建物)+車位,民權西路181~210號,4.73,都市：其他:第四種住宅區。,,,1060920,土地3建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091202,48.129999999999995,1,1,1,有,有,10680000,215594,塔式車位,5.55,1500000,預售屋、或土地及建物分次登記案件;,RPRPMLSKKHGGFBA57DA,24.45,0.4,2.35,有,,5,1,2136000,1500000
大同區,房地(土地+建物),歸綏街181~210號,2.65,都市：其他:第三種商業區。,,,1100203,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0680925,25.729999999999997,1,0,1,有,有,3860000,150019,,0.0,0,其他增建;,RPSNMLTKKHGGFBA57DA,17.8,0.0,0.0,有,,2,0,1930000,0
大同區,房地(土地+建物),大龍街1~30號,22.75,都市：其他:第四種住宅區。,,,1100105,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610601,66.35,3,1,1,有,無,5150000,77619,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLTKKHGGFBA87DA,66.35,0.0,0.0,無,,2,0,2575000,0
萬華區,房地(土地+建物)+車位,內江街31~60號,13.19,都市：其他:第四種商業區。,,,1091219,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,179.73000000000002,3,2,1,有,有,36580000,218229,坡道機械,16.69,1000000,,RPPNMLKLKHGGFBA09DA,96.78,5.66,6.98,有,,3,1,12193333,1000000
內湖區,房地(土地+建物),星雲街168巷31~60號,5.0,都市：其他:第三種住宅區。,,,1100125,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,30.11,1,1,1,有,有,6600000,219196,,0.0,0,夾層;其他增建;,RPQSMLPLJHGGFCA57DA,15.7,0.53,3.75,有,5.0,2,0,3300000,0
內湖區,車位,內湖路一段1~30號,0.27,都市：其他:第三之一種住宅區。,,,1090802,土地2建物1車位1,,,其他,,,,33.74,0,0,0,有,有,3300000,,坡道平面,33.74,3300000,僅車位交易;,RPRQMLTLJHGGFCA87DA,0.0,0.0,0.0,有,6.0,4,1,825000,3300000
中山區,房地(土地+建物),中山北路三段1~30號,3.68,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100112,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670121,46.629999999999995,0,0,0,無,有,8000000,171563,,0.0,0,,RPQNMLKMJHGGFCA66DA,35.07,0.0,2.34,有,,3,0,2666666,0
內湖區,房地(土地+建物)+車位,民權東路六段121~150號,14.26,都市：其他:第三種商業區。,,,1091226,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,200.74,3,2,2,有,有,31200000,155425,坡道平面,0.0,0,,RPVRMLOJKHGGFCA77DA,100.17,2.75,3.79,有,,3,1,10400000,0
內湖區,房地(土地+建物)+車位,環山路二段1~30號,44.71,都市：其他:第二種住宅區。,,,1100111,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070928,103.22,0,0,0,無,有,13950000,135148,坡道平面,32.05,0,,RPWRMLOJKHGGFCA87DA,39.27,2.04,4.22,有,,4,1,3487500,0
中山區,房地(土地+建物)+車位,明水路631~660號,9.81,都市：其他:商業區(供一般商業使用不得作住宅使用)。,,,1100112,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0961011,48.79,1,1,1,有,有,8500000,174216,坡道機械,0.0,1600000,,RPQPMLTJKHGGFCA57DA,14.36,0.0,4.7,有,7.0,3,1,2833333,1600000
內湖區,房地(土地+建物),環山路三段1~30號,28.99,都市：其他:第三種住宅區。,,,1100118,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700716,107.5,3,2,2,有,無,16080000,149581,,0.0,0,陽台外推;,RPRQMLTJKHGGFCA77DA,89.43,0.0,6.16,無,,2,0,8040000,0
內湖區,房地(土地+建物)+車位,星雲街121~150號,14.08,都市：其他:第三種住宅區。,,,1091203,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,116.85,1,1,1,有,有,27500000,235344,坡道平面,28.03,0,其他增建;,RPTPMLRKKHGGFCA77DA,53.28,3.93,3.35,有,,3,1,9166666,0
內湖區,房地(土地+建物),瑞光路271~300號,30.97,都市：其他:第三種住宅區。,,,1100114,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730719,123.31,6,4,4,有,無,21880000,177439,,0.0,0,陽台外推;含租約;,RPPNMLSKKHGGFCA27DA,91.22,0.0,17.05,無,8.0,2,0,10940000,0
中山區,房地(土地+建物)+車位,敬業一路181~210號,28.95,都市：其他:商業區(供一般商業使用不得作住宅使用)。,,,1100123,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),一般事務所,鋼筋混凝土造,0970422,139.14,0,0,0,無,有,32000000,306366,坡道平面,42.85,2500000,,RPPQMLSKKHGGFCA57DA,56.17,4.59,4.57,有,,3,1,10666666,2500000
內湖區,車位,五分街111及91~120號,2.94,都市：其他:第三種住宅區。,,,1100116,土地1建物1車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,0960709,39.730000000000004,0,0,0,有,有,2070000,,坡道平面,39.74,2070000,僅車位交易;,RPTQMLSKKHGGFCA97DA,0.0,0.0,0.0,有,,3,1,690000,2070000
中山區,房地(土地+建物)+車位,植福路286巷31~60號,66.87,都市：其他:娛樂區(供觀光旅館使用)。,,,1091225,土地1建物1車位3,二十五層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,586.8,0,0,0,無,有,290000000,589516,坡道平面,113.7,11100000,,RPPOMLTKKHGGFCA47DA,298.86,1.43,33.45,有,,5,3,58000000,3700000
中山區,房地(土地+建物),中山北路二段93巷1~30號,2.19,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100116,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0920808,33.18,1,1,1,有,有,6380000,192285,,0.0,0,夾層;,RPXOMLTKKHGGFCA28DA,14.8,0.0,0.0,有,,2,0,3190000,0
內湖區,房地(土地+建物),康寧路三段151~180號,25.59,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第壹種商業區)。,,,1091102,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0760525,105.84,3,2,2,有,無,12000000,113368,,0.0,0,地下層面積1021.31平方公尺*77/10000.沒有獨立車位位置.要用抽籤支付租金才可使用親友、員工、共有人或其他特殊關係間之交易;,RPRNMLNLKHGGFCA07DA,86.8,0.0,6.68,無,,2,0,6000000,0
松山區,房地(土地+建物),富錦街574巷1~30號,42.0,都市：其他:住宅用地及道路用地(公共設施用地)(民生社區特定專用區)。,,,1091230,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710622,124.00999999999999,3,2,2,有,無,24100000,194339,,0.0,0,陽台外推;其他增建;,RPPOMLNJKHGGFDA86DA,86.86,0.0,29.94,無,,2,0,12050000,0
松山區,房地(土地+建物),延壽街330巷17弄1~30號,19.31,都市：其他:第三種住宅區。,,,1100111,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820323,102.71,3,2,2,有,有,24100000,234641,,0.0,0,其他增建;,RPVOMLMJKHGGFDA37DA,70.09,9.93,0.0,有,9.0,3,0,8033333,0
信義區,土地,吳興段一小段61~90地號,0.01,都市：其他:道路用地(公共設施用地)。51/9/1,,,1100208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,283,0,,0.0,0,包含公共設施保留地用地;,RPVNMLPJKHGGFDA57DA,0.0,0.0,0.0,無,10.0,1,0,283,0
松山區,房地(土地+建物),八德路四段781~810號,11.14,都市：其他:第三種商業區。,,,1091206,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960724,113.97,3,2,2,有,有,28280000,248135,,0.0,0,,RPUNMLSJKHGGFDA77DA,76.22,1.93,3.74,有,,2,0,14140000,0
信義區,房地(土地+建物),和平東路三段391巷1~30號,26.38,都市：其他:第三種住宅區。,,,1100110,土地1建物1車位0,一層，騎樓，停車場,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,104.7,4,2,1,有,無,22880000,218529,,0.0,0,夾層;其他增建;,RPWPMLSJKHGGFDA18DA,96.9,7.8,0.0,無,,2,0,11440000,0
松山區,房地(土地+建物),三民路107巷1~30號,37.75,都市：其他:住宅用地(民生社區特定專用區)。,,,1100121,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610120,90.66,3,2,1,有,無,18680000,206045,,0.0,0,頂樓加蓋;,RPWNMLRKKHGGFDA97DA,82.83,0.0,7.83,無,,2,0,9340000,0
松山區,房地(土地+建物),復興北路1~30號,16.96,都市：其他:道路用地(公共設施用地)。48/3/13,,,1091231,土地3建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,208.36,5,0,5,有,有,28000000,134383,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;含租約;,RPRPMLRKKHGGFDA67DA,146.98,0.0,23.96,有,,4,0,7000000,0
南港區,房地(土地+建物),研究院路二段12巷14弄31~60號,26.74,都市：其他:道路用地(公共設施用地)。61/11/18,,,1100105,土地12建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700731,93.27,3,2,1,有,無,12800000,137236,,0.0,0,陽台外加設玻璃窗包含公共設施保留地用地;,RPVNMLSKKHGGFDA97DA,78.51,0.0,14.76,無,,13,0,984615,0
士林區,房地(土地+建物),天母西路31~60號,19.9,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1091204,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740423,93.55,2,2,1,有,無,16300000,174238,,0.0,0,陽台外推;,RPSPMLMLJHGGFEA37DA,80.52,0.0,9.3,有,,2,0,8150000,0
士林區,房地(土地+建物),重慶北路四段49巷40弄1~30號,22.5,都市：其他:第三種住宅區。,,,1091222,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610314,80.54,3,2,1,有,無,8900000,110504,,0.0,0,其他增建;,RPQNMLOLJHGGFEA17DA,80.54,0.0,0.0,無,,2,0,4450000,0
北投區,土地,關渡段一小段121~150地號,528.91,都市：其他:公園用地(公共設施用地)。82/1/15,,,1100108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3781,,0.0,0,包含公共設施保留地用地;,RPUPMLPLJHGGFEA87DA,0.0,0.0,0.0,無,,1,0,2000000,0
士林區,土地,富安段一小段241~270地號,123.57,都市：其他:娛樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,,,1091229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8223600,66550,,0.0,0,,RPTOMLTLKIPFFEA09DA,0.0,0.0,0.0,無,11.0,1,0,8223600,0
士林區,房地(土地+建物),大北路91~120號,53.0,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1091229,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,加強磚造,0570320,125.9,0,0,0,無,無,17500000,138999,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPOMLLMKIPFFEA97DA,125.9,0.0,0.0,無,,2,0,8750000,0
北投區,房地(土地+建物)+車位,致遠二路87巷31~60號,18.94,都市：其他:第三種住宅區。,,,1100112,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080909,110.62,2,2,1,有,有,24280000,237613,升降機械,19.8,2700000,,RPUOMLOJKHGGFEA57DA,40.46,11.05,3.75,有,,3,1,8093333,2700000
北投區,房地(土地+建物),中央北路四段481~510號,24.25,都市：其他:第三種住宅區。,,,1100111,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640507,70.51,3,2,1,有,無,7780000,110339,,0.0,0,陽台外推;其他增建;,RPTQMLSJKHGGFEA08DA,70.51,0.0,0.0,無,,2,0,3890000,0
北投區,房地(土地+建物),致遠一路二段12巷5弄1~30號,27.3,都市：其他:第三種住宅區。,,,1091204,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0600913,108.05,2,2,2,有,無,19600000,181398,,0.0,0,,RPXQMLSJKHGGFEA48DA,63.73,0.0,5.35,有,,2,0,9800000,0
士林區,房地(土地+建物)+車位,天母東路1~30號,78.56,都市：其他:第三種住宅區。,,,1100105,土地2建物1車位4,十二層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050920,694.4,4,2,5,有,有,285000000,458229,坡道平面,102.12,13600000,,RPVQMLRKKHGGFEA28DA,319.19,13.07,51.95,有,,7,4,40714285,3400000
北投區,房地(土地+建物),中山路1~30號,9.8,都市：其他:特定觀光商業專用區。,,,1091229,土地1建物1車位0,七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,70.83,1,1,1,有,有,12200000,172243,,0.0,0,陽台外推;,RPSNMLSKKHGGFEA77DA,37.04,0.0,13.32,有,,2,0,6100000,0
北投區,房地(土地+建物),公路301~330號,30.17,都市：其他:第三種住宅區。,,,1100103,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791207,123.62,3,2,2,有,有,13150000,106374,,0.0,0,前後平台及空地增建代理人僅受義務人委託其他增建;,RPOQMLRKKHGGFEA57DA,74.95,40.59,0.0,無,,2,0,6575000,0
士林區,房地(土地+建物),葫蘆街61巷1~30號,33.97,都市：其他:第三種住宅區。,,,1091119,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680608,97.16,4,2,1,有,無,9480000,97571,,0.0,0,其他增建;,RPPPMLSKKHGGFEA67DA,85.69,0.0,11.47,無,,3,0,3160000,0
北投區,房地(土地+建物),義方街1~30號,30.33,都市：其他:第三種住宅區。,,,1100114,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690402,89.41,3,2,1,有,無,10500000,117437,,0.0,0,其他增建;,RPSPMLSKKHGGFEA97DA,77.96,0.0,11.45,無,,3,0,3500000,0
北投區,房地(土地+建物)+車位,中央北路四段515巷31~60號,27.92,都市：其他:科技工業區(不得作住宅使用)。,,,1100113,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021129,141.82,0,0,0,無,有,15000000,105768,坡道平面,32.44,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLTKKHGGFEA67DA,62.96,2.3,9.01,有,12.0,3,1,5000000,0
大安區,房地(土地+建物),信義路四段91~120號,3.94,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1091225,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781012,57.97,2,1,1,有,有,17680000,304985,,0.0,0,陽台外推;,RPWNMLRJJHGGFFA97DA,40.2,1.08,5.04,有,13.0,2,0,8840000,0
大安區,房地(土地+建物),安和路一段61~90號,19.79,都市：其他:敦化南北路特定專用區(B區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區)。,,,1100107,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750429,142.44,3,2,2,有,有,50980000,357905,,0.0,0,陽台外推;,RPPOMLPKJHGGFFA27DA,118.7,0.0,14.34,有,,2,0,25490000,0
大安區,房地(土地+建物),延吉街151~180號,14.44,都市：其他:第四種住宅區。,,,1091219,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701231,82.47,2,2,1,有,無,21200000,257063,,0.0,0,陽台外推;其他增建;,RPTOMLSLJHGGFFA08DA,55.79,0.0,15.83,有,14.0,2,0,10600000,0
大安區,房地(土地+建物)+車位,仁愛路四段301~330號,32.36,都市：其他:道路用地(公共設施用地)。68/10/15,,,1090530,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701223,264.27,4,2,2,有,有,66880000,253075,坡道平面,0.0,0,本案行使34條之1辦理,RPPQMLMJKHGGFFA17DA,220.42,0.0,12.61,有,,4,1,16720000,0
大安區,房地(土地+建物),和平東路三段91~120號,3.27,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區及第貳種商業區應依建築線或俟地籍測量分割後，再確定)。,,,1100111,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930409,29.36,1,1,1,有,有,8100000,275886,,0.0,0,陽台外推;夾層;其他增建;,RPPNMLNJKHGGFFA96DA,17.78,0.0,1.36,有,,3,0,2700000,0
大安區,房地(土地+建物),忠孝東路四段170巷6弄1~30號,21.31,都市：其他:第四種住宅區。,,,1100116,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.03,3,2,2,有,無,33980000,234296,,0.0,0,陽台外推;其他增建;,RPVOMLNJKHGGFFA67DA,105.32,0.0,18.1,有,,2,0,16990000,0
大安區,房地(土地+建物),和平東路二段91~120號,7.1,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1091213,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730616,91.22,2,2,2,有,有,23800000,260908,,0.0,0,陽台外推;其他增建;,RPRPMLNJKHGGFFA37DA,56.92,0.0,12.12,有,15.0,2,0,11900000,0
大安區,房地(土地+建物),四維路52巷1~30號,65.25,都市：其他:第四種住宅區。,,,1091219,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,167.09,4,2,3,有,無,44300000,265127,,0.0,0,其他增建;,RPQNMLOJKHGGFFA17DA,167.09,0.0,0.0,無,,2,0,22150000,0
大安區,車位,市民大道四段91~120號,1.51,都市：其他:第四之一種住宅區(特)。,,,1100125,土地1建物1車位1,地下二層,十五層,其他,停車空間,鋼筋混凝土造,0790804,32.56,0,0,0,有,有,3080000,,坡道平面,0.0,3080000,僅車位交易;,RPXOMLOJKHGGFFA97DA,0.0,0.0,0.0,有,16.0,3,1,1026666,3080000
大安區,房地(土地+建物),復興南路二段1~30號,7.4,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100118,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840907,55.35,2,1,1,有,有,17350000,313460,,0.0,0,夾層;其他增建;,RPOPMLPJKHGGFFA27DA,26.64,11.74,0.0,有,17.0,2,0,8675000,0
大安區,房地(土地+建物),信義路三段147巷17弄1~30號,4.98,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1070814,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091126,27.59,1,1,1,有,有,9880000,358101,,0.0,0,預售屋、或土地及建物分次登記案件;,RPQRMLRKKHGGFFA97DA,29.32,7.64,2.21,有,,3,0,3293333,0
大安區,房地(土地+建物),信義路三段147巷17弄1~30號,6.38,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1070415,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091126,35.47,1,1,1,有,有,13800000,389061,,0.0,0,預售屋、或土地及建物分次登記案件;,RPRRMLRKKHGGFFA08DA,15.74,5.61,0.0,有,,3,0,4600000,0
大安區,房地(土地+建物)+車位,信義路三段147巷17弄1~30號,6.85,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1071129,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091126,68.17999999999999,1,1,1,有,有,16500000,381537,塔式車位,30.7,2200000,預售屋、或土地及建物分次登記案件;,RPSRMLRKKHGGFFA18DA,15.25,5.1,2.21,有,,4,1,4125000,2200000
大安區,房地(土地+建物),和平東路三段228巷31~60號,14.06,都市：其他:第三種住宅區。,,,1100122,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720530,110.11,3,2,2,有,有,21700000,197076,,0.0,0,,RPTNMLTKKHGGFFA08DA,88.12,0.0,13.43,有,18.0,2,0,10850000,0
大安區,房地(土地+建物),臥龍街188巷1~30號,29.82,都市：其他:第三種住宅區。,,,1100109,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,89.8,3,2,1,有,無,10000000,111359,,0.0,0,,RPSOMLTKKHGGFFA08DA,83.72,0.0,6.08,無,,2,0,5000000,0
大安區,房地(土地+建物)+車位,仁愛路三段5巷1~30號,41.42,都市：其他:第三種住宅區。,,,1091222,土地1建物3車位2,五層,十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050929,421.93,3,2,3,有,有,161000000,436361,坡道平面,69.24,7100000,,RPTOMLTKKHGGFFA18DA,191.76,20.7,11.1,有,,6,2,26833333,3550000
